rank,name,score,team_name
1,劉愷愷,428,大陰帝國
2,靈刀武西郎,754,大陰帝國
3,DFS,872,大陰帝國
4,友愛之邦,990,大陰帝國
5,半糖綠,1097,大陰帝國
6,祺表示哈哈哈,1164,大陰帝國
7,尊者這真的很玄,1208,大陰帝國
8,森尚梅友前,1333,大陰帝國
9,喝哩嘎仔,1415,大陰帝國
10,NYY42,1494,大陰帝國
11,休含喇,1653,大陰帝國
12,一緊張就亂射,1660,大陰帝國
13,Chubby,1670,大陰帝國
14,Unholy.NYY,1705,大陰帝國
15,湖美劉愷愷,1796,大陰帝國
16,Skrwu,1869,大陰帝國
17,Angel好棒棒,1958,大陰帝國
18,紐約邪惡帝國隊,2098,大陰帝國
19,ddrhgx,2116,大陰帝國
20,Krabs*,2161,大陰帝國
21,什麼叫神人,2227,大陰帝國-稽查菊
22,亞洲大旋風,2239,大陰帝國-稽查菊
23,陰帝,2274,大陰帝國-稽查菊
24,社皮棒球隊,2495,大陰帝國-稽查菊
25,金采源源不絕,2789,大陰帝國-稽查菊
26,不公平的垃圾遊戲,2811,大陰帝國-稽查菊
27,TaipeiKD嘿嘿嘿,2824,大陰帝國-稽查菊
28,幫女友穿鞋子,2944,大陰帝國-稽查菊
29,최홍라사랑해요,3012,大陰帝國-稽查菊
30,眾神皇族,3026,大陰帝國-稽查菊
31,娃娃襪,3106,大陰帝國-稽查菊
32,極致頂的大肚子,3246,大陰帝國-稽查菊
33,能屈能山本由伸,3460,大陰帝國-稽查菊
34,Zeus卡視野,3490,大陰帝國-稽查菊
35,hqwrypwwwi,3574,大陰帝國-稽查菊
36,蟹堡王的披薩,3694,大陰帝國-稽查菊
37,浴巾香,3762,大陰帝國-稽查菊
38,CapybaHao,3766,大陰帝國-稽查菊
39,法國賭神窩要驗牌,3786,大陰帝國-稽查菊
40,3壞2好,3800,大陰帝國-稽查菊
41,The_Kraken,3907,大陰帝國-手入與支出
42,不書狐,3969,大陰帝國-手入與支出
43,亞特蘭大勇士,4040,大陰帝國-手入與支出
44,歐la歐啦,4051,大陰帝國-手入與支出
45,傑森洋基,4625,大陰帝國-手入與支出
46,非洲鳥鳥人,4694,大陰帝國-手入與支出
47,羅潔梅茵,4721,大陰帝國-手入與支出
48,huhhah,5477,大陰帝國-手入與支出
49,靈刀灰休處,5482,大陰帝國-手入與支出
50,天下無雙-雙雙,5508,大陰帝國-手入與支出
51,一擊稱霸,5522,大陰帝國-手入與支出
52,騎豬撞老虎,5664,大陰帝國-手入與支出
53,大谷翔平分3.0,6430,大陰帝國-手入與支出
54,小島輕浮男,6456,大陰帝國-手入與支出
55,洛杉磯手天使,6553,大陰帝國-手入與支出
56,冰淇淋燙口,6639,大陰帝國-手入與支出
57,傑森天使,6788,大陰帝國-手入與支出
58,安俞真我婆,6938,大陰帝國-手入與支出
59,(馬鈴薯),7363,大陰帝國-手入與支出
60,8ray之王,7572,大陰帝國-手入與支出
61,可愛的蟑螂大軍,7770,大陰帝國-抽查桃稅
62,66441122,8182,大陰帝國-抽查桃稅
63,LAA#00001er16o,8210,大陰帝國-抽查桃稅
64,新北全員到齊隊,9058,大陰帝國-抽查桃稅
65,小何教士上課啦,9299,大陰帝國-抽查桃稅
66,肥宅的煩惱,10030,大陰帝國-抽查桃稅
67,妲姬芭,10781,大陰帝國-抽查桃稅
68,Galante18,10831,大陰帝國-抽查桃稅
69,big.boss,11506,大陰帝國-抽查桃稅
70,DT一隻沒有尾巴,11692,大陰帝國-抽查桃稅
71,ShadowC06,12124,大陰帝國-抽查桃稅
72,看蝦小我要全部,14007,大陰帝國-抽查桃稅
73,逃學威龍闖天關,14556,大陰帝國-抽查桃稅
74,虹牌乳膠漆olo,14700,大陰帝國-抽查桃稅
75,喂球投手馬傳傑,17603,大陰帝國-抽查桃稅
76,還是我,18835,大陰帝國-抽查桃稅
77,Rocketshouston,19103,大陰帝國-抽查桃稅
78,焱無火,22780,大陰帝國-抽查桃稅
79,KKKTiger,25563,大陰帝國-抽查桃稅
80,紅襪不再紅,26586,大陰帝國-抽查桃稅
81,洋基小小雞,35825,大陰帝國-天龍特攻隊
82,欸特蘭達布瑞夫斯,41060,大陰帝國-天龍特攻隊
83,終極防守,42964,大陰帝國-天龍特攻隊
84,馬蓋先,48710,大陰帝國-天龍特攻隊
85,德州遊騎兵,51908,大陰帝國-天龍特攻隊
86,亞利桑那響尾蛇,52342,大陰帝國-天龍特攻隊
87,芝加哥小熊,52996,大陰帝國-天龍特攻隊
88,聖路易紅雀,53474,大陰帝國-天龍特攻隊
89,波士頓紅襪,55259,大陰帝國-天龍特攻隊
90,多倫多藍鳥,57898,大陰帝國-天龍特攻隊
